GrupaNaziv;Atribut;TipPodatka;AvailableValues;;;;
Dimenzije;Promjer;double;;;;;
Dimenzije;Visina;double;;;;;
Dimenzije;Baza krošnje;double;;;;;
Dimenzije;Radius krošnje;double;;;;;
Pridanak;Uredno;bool;;;;;
Pridanak;Trulež;text;"[{""value"":""Mala"",""text"":""Mala""},{""value"":""Srednja"",""text"": ""Srednja""},{""value"":""Jaka"",""text"":""Jaka""}]";;;;
Pridanak;Mehaničke ozljede;text;"[{""value"":""Svježe"",""text"":""Svježe""},{""value"":""Stare"",""text"": ""Stare""},{""value"":""Dobro kalusiraju"",""text"":""Dobro kalusiraju""},{""value"":""Loše kalusiraju"",""text"":""Loše kalusiraju""}]";;;;
Pridanak;Hipertrofije;text;"[{""value"":""Benigne"",""text"":""Benigne""},{""value"":""Upitne"",""text"": ""Upitne""}]";;;;
Pridanak;Uzdužna pukotina;text;"[{""value"":""Kalusirala"",""text"":""Kalusirala""},{""value"":""Otvorena"",""text"": ""Otvorena""}]";;;;
Pridanak;Plodišta truležnica;text;"[{""value"":""Malobrojna"",""text"":""Malobrojna""},{""value"":""Brojna"",""text"": ""Brojna""},{""value"":""Vrlo brojna"",""text"": ""Vrlo brojna""}]";;;;
Pridanak;Gljiva;text;"[{""value"": ""Phellinus pini"", ""text"": ""Phellinus pini""},{""value"": ""Ganoderma sp."", ""text"": ""Ganoderma sp.""},{""value"": ""Innotus sp."", ""text"": ""Innotus sp.""},{""value"": ""Phomopsis sp."", ""text"": ""Phomopsis sp.""},{""value"": ""Schizophyllum commune"", ""text"": ""Schizophyllum commune""},{""value"": ""Bolest iglica"", ""text"": ""Bolest iglica""},{""value"": ""Biscogniauxia mediterranea"", ""text"": ""Biscogniauxia mediterranea""}]";;;;
Pridanak;Kukci;text;"[{""value"": ""Mravi"", ""text"": ""Mravi""},{""value"": ""Ksilofagi"", ""text"": ""Ksilofagi""},{""value"": ""Potkornjaci"", ""text"": ""Potkornjaci""},{""value"": ""Defolijator"", ""text"": ""Defolijator""},{""value"": ""Kornjaši truležari (listorošci)"", ""text"": ""Kornjaši truležari (listorošci)""},{""value"": ""Crvena palmina pipa"", ""text"": ""Crvena palmina pipa""}]";;;;
Pridanak;Kodominantna stabalca;text;"[{""value"":""Loše srasla"",""text"":""Loše srasla""},{""value"":""Dobro srasla"",""text"": ""Dobro srasla""}]";;;;
Pridanak;Ostali nametnici;text;"[{""value"":""Bršljan"",""text"":""Bršljan""},{""value"":""Imela"",""text"":""Imela""},{""value"":""Bakterije"",""text"":""Bakterije""}]";;;;
Pridanak;Prelomljeno;bool;;;;;
Pridanak;Simptomi izvale;bool;;;;;
Pridanak;Kolizija sa infrastrukturom;bool;;;;;
Deblo;Uredno;bool;;;;;
Deblo;Trulež;text;"[{""value"":""Mala"",""text"":""Mala""},{""value"":""Srednja"",""text"": ""Srednja""},{""value"":""Jaka"",""text"":""Jaka""}]";;;;
Deblo;Mehaničke ozljede;text;"[{""value"":""Svježe"",""text"":""Svježe""},{""value"":""Stare"",""text"": ""Stare""},{""value"":""Dobro kalusiraju"",""text"":""Dobro kalusiraju""},{""value"":""Loše kalusiraju"",""text"":""Loše kalusiraju""}]";;;;
Deblo;Hipertrofije;text;"[{""value"":""Benigne"",""text"":""Benigne""},{""value"":""Upitne"",""text"": ""Upitne""}]";;;;
Deblo;Uzdužna pukotina;text;"[{""value"":""Kalusirala"",""text"":""Kalusirala""},{""value"":""Otvorena"",""text"": ""Otvorena""}]";;;;
Deblo;Plodišta truležnica;text;"[{""value"":""Malobrojna"",""text"":""Malobrojna""},{""value"":""Brojna"",""text"": ""Brojna""},{""value"":""Vrlo brojna"",""text"": ""Vrlo brojna""}]";;;;
